"Rates Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Labor Force Participation Rate Both sexes","Labor Force Participation Rate Male","Labor Force Participation Rate Female","Employment Rate Both sexes","Employment Rate Male","Employment Rate Female","Unemployment Rate Both sexes","Unemployment Rate Male","Unemployment Rate Female","Underemployment Rate Both sexes","Underemployment Rate Male","Underemployment Rate Female"
"2014","May",.,.,.,.,.,.,.,.,.,.,.,.
"2014","June",.,.,.,.,.,.,.,.,.,.,.,.
"2014","July",64.352,78.315,50.486,93.262,92.962,93.723,6.738,7.038,6.277,18.332,20.752,14.635
"2014","August",.,.,.,.,.,.,.,.,.,.,.,.
"2014","September",.,.,.,.,.,.,.,.,.,.,.,.
"2014","October",64.303,78.410,50.253,93.993,93.563,94.662,6.007,6.437,5.338,18.741,21.291,14.824
"2014","November",.,.,.,.,.,.,.,.,.,.,.,.
"2014","December",.,.,.,.,.,.,.,.,.,.,.,.
"2014","Annual",64.622,78.649,50.692,93.407,93.114,93.858,6.593,6.886,6.142,18.417,20.824,14.737
"2015","January",63.731,77.842,49.694,93.434,92.886,94.287,6.566,7.114,5.713,17.895,20.366,14.101
"2015","February",.,.,.,.,.,.,.,.,.,.,.,.
"2015","March",.,.,.,.,.,.,.,.,.,.,.,.
"2015","April",64.566,78.161,51.039,93.591,93.300,94.035,6.409,6.700,5.965,17.833,20.255,14.171
"2015","May",.,.,.,.,.,.,.,.,.,.,.,.
"2015","June",.,.,.,.,.,.,.,.,.,.,.,.
"2015","July",62.901,76.165,49.644,93.500,93.332,93.758,6.500,6.668,6.242,20.982,23.515,17.117
"2015","August",.,.,.,.,.,.,.,.,.,.,.,.
"2015","September",.,.,.,.,.,.,.,.,.,.,.,.
"2015","October",63.260,76.941,49.602,94.375,94.129,94.757,5.625,5.871,5.243,17.650,19.781,14.372
"2015","November",.,.,.,.,.,.,.,.,.,.,.,.
"2015","December",.,.,.,.,.,.,.,.,.,.,.,.
"2015","Annual",63.666,77.312,50.063,93.707,93.391,94.195,6.293,6.609,5.805,18.534,20.924,14.886
"2016","January",63.551,76.747,50.293,94.310,93.991,94.800,5.690,6.009,5.200,19.600,21.926,16.064
"2016","February",.,.,.,.,.,.,.,.,.,.,.,.
"2016","March",.,.,.,.,.,.,.,.,.,.,.,.
"2016","April",63.505,78.200,48.851,93.936,93.761,94.214,6.064,6.239,5.786,18.273,20.643,14.510
"2016","May",.,.,.,.,.,.,.,.,.,.,.,.
"2016","June",.,.,.,.,.,.,.,.,.,.,.,.
"2016","July",63.244,77.517,48.984,94.612,94.681,94.503,5.388,5.319,5.497,17.421,19.652,13.886
"2016","August",.,.,.,.,.,.,.,.,.,.,.,.
"2016","September",.,.,.,.,.,.,.,.,.,.,.,.
"2016","October",63.606,77.864,49.262,95.335,95.138,95.649,4.665,4.862,4.351,18.016,20.508,14.076
"2016","November",.,.,.,.,.,.,.,.,.,.,.,.
"2016","December",.,.,.,.,.,.,.,.,.,.,.,.
"2016","Annual",63.476,77.583,49.345,94.550,94.396,94.794,5.450,5.604,5.206,18.324,20.675,14.638
"2017","January",60.664,76.074,45.213,93.442,92.725,94.652,6.558,7.275,5.348,16.260,18.324,12.848
"2017","February",.,.,.,.,.,.,.,.,.,.,.,.
"2017","March",.,.,.,.,.,.,.,.,.,.,.,.
"2017","April",61.366,76.558,46.173,94.281,94.157,94.488,5.719,5.843,5.512,16.062,17.799,13.193
"2017","May",.,.,.,.,.,.,.,.,.,.,.,.
"2017","June",.,.,.,.,.,.,.,.,.,.,.,.
"2017","July",60.636,75.743,45.483,94.422,94.289,94.642,5.578,5.711,5.358,16.283,17.823,13.719
"2017","August",.,.,.,.,.,.,.,.,.,.,.,.
"2017","September",.,.,.,.,.,.,.,.,.,.,.,.
"2017","October",62.136,76.364,47.800,95.003,94.802,95.325,4.997,5.198,4.675,15.923,17.334,13.664
"2017","November",.,.,.,.,.,.,.,.,.,.,.,.
"2017","December",.,.,.,.,.,.,.,.,.,.,.,.
"2017","Annual",61.202,76.184,46.170,94.294,93.998,94.784,5.706,6.002,5.216,16.130,17.815,13.362
"2018","January",62.168,76.801,47.475,94.736,94.429,95.234,5.264,5.571,4.766,17.956,20.245,14.271
"2018","February",.,.,.,.,.,.,.,.,.,.,.,.
"2018","March",.,.,.,.,.,.,.,.,.,.,.,.
"2018","April",60.913,75.269,46.490,94.543,94.472,94.659,5.457,5.528,5.341,16.958,18.245,14.868
"2018","May",.,.,.,.,.,.,.,.,.,.,.,.
"2018","June",.,.,.,.,.,.,.,.,.,.,.,.
"2018","July",60.059,73.875,46.169,94.580,94.634,94.494,5.420,5.366,5.506,17.227,19.053,14.285
"2018","August",.,.,.,.,.,.,.,.,.,.,.,.
"2018","September",.,.,.,.,.,.,.,.,.,.,.,.
"2018","October",60.553,74.568,46.382,94.938,94.800,95.162,5.062,5.200,4.838,13.313,14.786,10.929
"2018","November",.,.,.,.,.,.,.,.,.,.,.,.
"2018","December",.,.,.,.,.,.,.,.,.,.,.,.
"2018","Annual",60.920,75.123,46.627,94.700,94.583,94.889,5.300,5.417,5.111,16.363,18.082,13.585
"2019","January",60.238,73.799,46.547,94.710,94.459,95.114,5.290,5.541,4.886,15.418,17.107,12.733
"2019","February",.,.,.,.,.,.,.,.,.,.,.,.
"2019","March",.,.,.,.,.,.,.,.,.,.,.,.
"2019","April",61.340,75.284,47.313,94.849,94.738,95.028,5.151,5.262,4.972,13.327,14.865,10.874
"2019","May",.,.,.,.,.,.,.,.,.,.,.,.
"2019","June",.,.,.,.,.,.,.,.,.,.,.,.
"2019","July",62.059,75.299,48.700,94.579,94.618,94.517,5.421,5.382,5.483,13.637,15.010,11.492
"2019","August",.,.,.,.,.,.,.,.,.,.,.,.
"2019","September",.,.,.,.,.,.,.,.,.,.,.,.
"2019","October",61.405,74.922,47.763,95.412,95.415,95.409,4.588,4.585,4.591,12.784,14.220,10.512
"2019","November",.,.,.,.,.,.,.,.,.,.,.,.
"2019","December",.,.,.,.,.,.,.,.,.,.,.,.
"2019","Annual",61.263,74.827,47.584,94.889,94.810,95.014,5.111,5.190,4.986,13.778,15.286,11.392
"2020","January",61.688,74.847,48.421,94.678,94.475,94.994,5.322,5.525,5.006,14.806,16.284,12.515
"2020","February",.,.,.,.,.,.,.,.,.,.,.,.
"2020","March",.,.,.,.,.,.,.,.,.,.,.,.
"2020","April",55.693,69.771,41.542,82.395,81.224,84.373,17.605,18.776,15.627,18.912,20.863,15.741
"2020","May",.,.,.,.,.,.,.,.,.,.,.,.
"2020","June",.,.,.,.,.,.,.,.,.,.,.,.
"2020","July",61.937,75.276,48.480,90.039,90.035,90.046,9.961,9.965,9.954,17.278,19.033,14.530
"2020","August",.,.,.,.,.,.,.,.,.,.,.,.
"2020","September",.,.,.,.,.,.,.,.,.,.,.,.
"2020","October",58.742,72.318,44.988,91.265,91.350,91.127,8.735,8.650,8.873,14.427,15.922,11.987
"2020","November",.,.,.,.,.,.,.,.,.,.,.,.
"2020","December",.,.,.,.,.,.,.,.,.,.,.,.
"2020","Annual",59.510,73.050,45.850,89.744,89.387,90.317,10.256,10.613,9.683,16.240,17.900,13.601
"2021","January",60.498,73.943,46.932,91.233,91.244,91.214,8.767,8.756,8.786,15.973,17.587,13.408
"2021","February",63.457,75.960,50.874,91.155,91.602,90.483,8.845,8.398,9.517,18.192,20.282,15.012
"2021","March",65.004,76.753,53.130,92.946,93.428,92.241,7.054,6.572,7.759,16.181,18.054,13.412
"2021","April",63.234,74.960,51.413,91.272,91.546,90.868,8.728,8.454,9.132,17.224,18.988,14.611
"2021","May",64.571,76.155,52.887,92.283,92.234,92.355,7.717,7.766,7.645,12.279,14.062,9.693
"2021","June",65.051,76.310,53.701,92.281,93.175,91.000,7.719,6.825,9.000,14.220,15.479,12.372
"2021","July",59.412,71.935,46.787,92.808,93.257,92.112,7.192,6.743,7.888,21.043,22.945,18.060
"2021","August",63.634,75.767,51.403,91.931,92.101,91.679,8.069,7.899,8.321,14.656,16.536,11.849
"2021","September",63.348,75.513,51.103,91.060,91.608,90.246,8.940,8.392,9.754,14.183,15.853,11.660
"2021","October",62.627,74.902,50.193,92.596,92.765,92.341,7.404,7.235,7.659,16.073,18.032,13.099
"2021","November",64.245,76.129,52.245,93.503,93.611,93.342,6.497,6.389,6.658,16.752,18.343,14.403
"2021","December",65.102,76.069,54.054,93.374,93.637,93.002,6.626,6.363,6.998,14.719,16.683,11.915
"2021","Annual",63.350,75.366,51.230,92.213,92.523,91.752,7.787,7.477,8.248,15.920,17.713,13.236
"2022","January",60.535,72.848,48.141,93.612,93.881,93.202,6.388,6.119,6.798,14.866,16.402,12.509
"2022","February",63.826,75.684,51.823,93.569,94.109,92.770,6.431,5.891,7.230,14.032,15.238,12.225
"2022","March",65.375,76.953,53.694,94.228,94.672,93.587,5.772,5.328,6.413,15.799,17.501,13.310
"2022","April",63.364,75.100,51.533,94.290,94.270,94.319,5.710,5.730,5.681,14.023,15.398,12.004
"2022","May",64.040,75.504,52.452,94.027,94.062,93.976,5.973,5.938,6.024,14.469,15.768,12.578
"2022","June",64.778,76.346,53.166,93.970,94.594,93.071,6.030,5.406,6.929,12.637,14.098,10.496
"2022","July",65.232,76.443,53.936,94.795,94.899,94.647,5.205,5.101,5.353,13.806,15.339,11.610
"2022","August",66.065,76.201,55.871,94.696,95.040,94.224,5.304,4.960,5.776,14.692,16.506,12.182
"2022","September",65.182,75.534,54.779,95.013,95.453,94.403,4.987,4.547,5.597,15.397,16.597,13.716
"2022","October",64.140,74.899,53.252,95.457,95.534,95.347,4.543,4.466,4.653,14.162,15.870,11.727
"2022","November",67.454,77.042,57.810,95.804,95.698,95.947,4.196,4.302,4.053,14.404,16.142,12.081
"2022","December",66.388,76.717,55.984,95.668,96.115,95.052,4.332,3.885,4.948,12.646,13.866,10.943
"2022","Annual",64.702,75.774,53.544,94.610,94.868,94.243,5.390,5.132,5.757,14.239,15.722,12.109
"2023","January",64.497,75.177,53.720,95.218,94.978,95.556,4.782,5.022,4.444,14.053,16.064,11.231
"2023","February",66.584,77.051,56.062,95.173,95.490,94.735,4.827,4.510,5.265,12.883,14.670,10.395
"2023","March",66.012,76.091,55.871,95.261,95.711,94.645,4.739,4.289,5.355,11.201,12.702,9.121
"2023","April",65.123,75.401,54.745,95.516,95.189,95.970,4.484,4.811,4.030,12.909,14.555,10.639
"2023","May",65.347,75.526,55.066,95.702,96.001,95.287,4.298,3.999,4.713,11.729,13.380,9.425
"2023","June",66.074,76.086,55.926,95.453,95.734,95.065,4.547,4.266,4.935,12.028,13.383,10.147
"2023","July",60.035,72.154,47.843,95.114,95.368,94.728,4.886,4.632,5.272,15.865,17.429,13.476
"2023","August",64.657,76.300,52.949,95.588,95.959,95.050,4.412,4.041,4.950,11.712,13.103,9.676
"2023","September",64.050,74.676,53.352,95.467,95.915,94.835,4.533,4.085,5.165,10.725,11.373,9.802
"2023","October",63.946,74.968,52.827,95.811,95.808,95.816,4.189,4.192,4.184,11.712,13.195,9.589
"2023","November",65.895,76.246,55.411,96.438,96.792,95.945,3.562,3.208,4.055,11.659,12.400,10.617
"2023","December",66.648,76.965,56.270,96.926,97.120,96.660,3.074,2.880,3.340,11.896,13.312,9.937
"2023","Annual",64.903,75.552,54.165,95.646,95.845,95.366,4.354,4.155,4.634,12.338,13.775,10.305
"2024","January",61.119,72.825,49.348,95.511,95.589,95.395,4.489,4.411,4.605,13.717,15.276,11.401
"2024","February",64.804,75.518,54.052,96.461,96.681,96.153,3.539,3.319,3.847,12.413,13.831,10.415
"2024","March",65.318,75.406,55.139,96.089,96.286,95.818,3.911,3.714,4.182,10.967,12.366,9.028
"2024","April",64.102,74.956,53.154,95.950,95.820,96.136,4.050,4.180,3.864,14.553,15.972,12.542
"2024","May",64.821,75.134,54.440,95.868,95.955,95.747,4.132,4.045,4.253,9.854,11.009,8.245
"2024","June",65.996,76.046,55.849,96.879,97.291,96.312,3.121,2.709,3.688,12.098,13.385,10.312
"2024","July",63.451,74.449,52.374,95.255,95.572,94.802,4.745,4.428,5.198,12.107,13.483,10.122
"2024","August",64.807,74.812,54.742,95.959,96.473,95.252,4.041,3.527,4.748,11.156,12.984,8.612
"2024","September",65.692,75.611,55.745,96.343,96.779,95.749,3.657,3.221,4.251,11.918,13.139,10.238
"2024","October",63.270,74.292,52.116,96.078,96.109,96.034,3.922,3.891,3.966,12.632,14.006,10.648
"2024","November",64.580,75.135,53.915,96.753,96.656,96.889,3.247,3.344,3.111,10.809,11.994,9.144
"2024","December",65.147,75.544,54.680,96.856,97.105,96.510,3.144,2.895,3.490,10.921,11.578,10.000
"2024","Annual",64.425,74.977,53.796,96.174,96.365,95.906,3.826,3.635,4.094,11.912,13.239,10.040
"2025","January",63.861,74.761,52.859,95.725,95.668,95.806,4.275,4.332,4.194,13.343,15.206,10.687
"2025","February",64.473,74.639,54.219,96.209,96.386,95.962,3.791,3.614,4.038,10.088,11.622,7.947
"2025","March",62.852,73.108,52.533,96.133,96.159,96.096,3.867,3.841,3.904,13.409,14.934,11.273
"2025","April",63.744,74.412,52.985,95.933,95.963,95.889,4.067,4.037,4.111,14.569,15.993,12.551
"2025","May",65.849,75.778,55.886,96.111,96.215,95.970,3.889,3.785,4.030,13.129,14.613,11.106
"2025","June",65.710,75.911,55.443,96.282,96.287,96.276,3.718,3.713,3.724,11.417,12.891,9.385
"2025","July",60.733,72.450,48.936,94.668,94.858,94.385,5.332,5.142,5.615,14.774,16.479,12.220
"2025","August",65.060,75.324,54.673,96.099,96.158,96.017,3.901,3.842,3.983,10.741,11.985,9.004
"2025","September",64.460,74.719,54.102,96.207,96.340,96.020,3.793,3.660,3.980,11.134,12.388,9.378
"2025","October",63.561,74.960,52.029,95.031,95.081,94.959,4.969,4.919,5.041,11.951,13.401,9.836
"2025","November",64.013,74.283,53.687,95.628,95.656,95.589,4.372,4.344,4.411,10.373,11.570,8.706
"2025","December",64.408,75.208,53.498,95.628,96.322,94.644,4.372,3.678,5.356,7.954,9.023,6.409
"2025","Annual",64.060,74.630,53.403,95.811,95.927,95.647,4.189,4.073,4.353,11.881,13.319,9.850
"2026","January",62.305,73.745,50.709,94.194,94.228,94.144,5.806,5.772,5.856,13.245,14.842,10.888
"2026","February",63.815,74.077,53.375,94.892,94.720,95.134,5.108,5.280,4.866,11.814,13.434,9.537
"2026","March",63.323,73.695,52.774,95.011,95.213,94.724,4.989,4.787,5.276,12.291,14.178,9.597
"2026","April",62.681,73.891,51.313,95.294,95.344,95.222,4.706,4.656,4.778,15.157,16.858,12.670
"2026","May",63.812,74.614,52.917,95.207,95.274,95.112,4.793,4.726,4.888,12.168,13.575,10.163
"2026","June",65.102,75.364,54.723,95.140,94.884,95.497,4.860,5.116,4.503,12.071,13.697,9.820
"2026","July",.,.,.,.,.,.,.,.,.,.,.,.
"2026","August",.,.,.,.,.,.,.,.,.,.,.,.
"2026","September",.,.,.,.,.,.,.,.,.,.,.,.
"2026","October",.,.,.,.,.,.,.,.,.,.,.,.
"2026","November",.,.,.,.,.,.,.,.,.,.,.,.
"2026","December",.,.,.,.,.,.,.,.,.,.,.,.
"2026","Annual",.,.,.,.,.,.,.,.,.,.,.,.
